s2v120c1200-1.cnf 	O = 161
min1s2v160c800_13.cnf 	O = 467
min1s2v160c800_14.cnf 	O = 464
min1s2v160c800_15.cnf 	O = 459
min1s2v160c800_2.cnf 	O = 457
min1s2v160c800_3.cnf 	O = 459
min1s2v160c800_4.cnf 	O = 464
min1s2v160c800_5.cnf 	O = 455
min1s2v160c800_6.cnf 	O = 445
min1s2v160c800_7.cnf 	O = 460
min1s2v160c800_8.cnf 	O = 464
min1s2v160c800_9.cnf 	O = 459
min1s2v160c960_0.cnf 	O = 562
min1s2v160c960_1.cnf 	O = 578
min1s2v160c960_10.cnf 	O = 564
min1s2v160c960_11.cnf 	O = 567
min1s2v160c960_12.cnf 	O = 568
min1s2v160c960_13.cnf 	O = 572
min1s2v160c960_14.cnf 	O = 568
min1s2v160c960_15.cnf 	O = 558
min1s2v160c960_2.cnf 	O = 561
min1s2v160c960_3.cnf 	O = 563
min1s2v160c960_4.cnf 	O = 574
min1s2v160c960_5.cnf 	O = 571
min1s2v160c960_6.cnf 	O = 549
min1s2v160c960_7.cnf 	O = 565
min1s2v160c960_8.cnf 	O = 566
min1s2v160c960_9.cnf 	O = 555
min1s2v200c1000_0.cnf 	O = 580
min1s2v200c1000_1.cnf 	O = 570
min1s2v200c1000_10.cnf 	O = 574
min1s2v200c1000_11.cnf 	O = 570
min1s2v200c1000_12.cnf 	O = 569
min1s2v200c1000_13.cnf 	O = 573
min1s2v200c1000_14.cnf 	O = 571
min1s2v200c1000_15.cnf 	O = 573
min1s2v200c1000_2.cnf 	O = 575
min1s2v200c1000_3.cnf 	O = 574
min1s2v200c1000_4.cnf 	O = 570
min1s2v200c1000_5.cnf 	O = 571
min1s2v200c1000_6.cnf 	O = 570
min1s2v200c1000_7.cnf 	O = 561
min1s2v200c1000_8.cnf 	O = 559
min1s2v200c1000_9.cnf 	O = 563
min1s2v200c1200_0.cnf 	O = 708
min1s2v200c1200_1.cnf 	O = 699
min1s2v200c1200_10.cnf 	O = 708
min1s2v200c1200_11.cnf 	O = 699
min1s2v200c1200_12.cnf 	O = 704
min1s2v200c1200_13.cnf 	O = 710
min1s2v200c1200_14.cnf 	O = 707
min1s2v200c1200_15.cnf 	O = 709
min1s2v200c1200_2.cnf 	O = 706
min1s2v200c1200_3.cnf 	O = 703
min1s2v200c1200_4.cnf 	O = 710
min1s2v200c1200_5.cnf 	O = 700
min1s2v200c1200_6.cnf 	O = 709
min1s2v200c1200_7.cnf 	O = 704
min1s2v200c1200_8.cnf 	O = 685
min1s2v200c1200_9.cnf 	O = 696
min1s2v200c800_0.cnf 	O = 446
min1s2v200c800_1.cnf 	O = 444
min1s2v200c800_10.cnf 	O = 438
min1s2v200c800_11.cnf 	O = 437
min1s2v200c800_12.cnf 	O = 436
min1s2v200c800_13.cnf 	O = 439
min1s2v200c800_14.cnf 	O = 436
min1s2v200c800_15.cnf 	O = 438
min1s2v200c800_2.cnf 	O = 438
min1s2v200c800_3.cnf 	O = 439
min1s2v200c800_4.cnf 	O = 437
min1s2v200c800_5.cnf 	O = 435
min1s2v200c800_6.cnf 	O = 445
min1s2v200c800_7.cnf 	O = 440
min1s2v200c800_8.cnf 	O = 436
min1s2v200c800_9.cnf 	O = 438
